525,514,22,44
524,513,22,44
525,513,22,44
525,513,22,44
525,514,21,42
525,513,22,44
526,513,22,44
526,513,22,44
526,513,22,44
526,513,22,44
527,514,21,42
527,513,22,44
527,513,22,43
527,512,22,44
527,512,22,44
528,512,22,45
527,512,22,44
528,512,22,45
529,513,22,43
529,512,22,45
530,513,22,43
529,512,22,44
530,513,22,43
529,512,22,45
529,511,23,46
529,512,22,44
530,513,21,42
530,514,21,41
530,513,21,42
529,512,22,44
529,512,22,44
530,512,21,42
530,512,21,42
529,512,22,44
530,513,21,42
531,514,21,41
531,513,22,43
530,513,22,43
530,513,22,43
530,512,22,44
530,512,22,44
529,512,22,44
529,513,22,44
529,512,22,44
529,512,22,44
529,514,21,42
529,513,22,44
529,513,22,44
529,513,22,44
529,513,21,42
528,513,22,44
528,513,22,44
529,514,22,43
528,514,22,43
528,513,22,45
527,513,22,45
527,513,22,45
527,514,22,43
526,514,22,43
526,514,22,43
526,515,21,41
525,514,22,43
525,514,22,43
524,514,22,43
524,514,22,43
524,514,22,43
522,513,22,44
521,513,22,44
521,514,21,42
521,513,22,44
520,514,21,42
520,514,21,42
519,513,22,44
518,513,22,44
518,514,22,43
518,514,22,43
517,514,22,43
516,514,21,42
516,514,22,43
515,514,22,43
514,514,21,42
513,513,22,44
513,514,21,42
512,514,22,43
512,514,22,43
511,513,22,45
510,514,22,43
510,513,22,43
521,509,21,42
515,510,22,43
514,510,22,43
514,509,22,45
513,510,22,43
512,510,22,43
512,510,22,43
511,510,22,43
510,510,22,43
509,509,22,44
509,510,22,43
508,510,22,43
507,509,22,44
506,510,22,43
505,509,22,44
504,509,22,44
504,510,22,43
503,510,21,42
503,510,21,42
503,510,22,43
501,510,21,42
501,510,21,42
500,510,22,43
500,510,22,43
499,510,22,43
499,510,22,43
498,510,21,42
498,510,22,43
498,509,22,44
497,510,21,42
497,510,21,42
497,510,22,44
497,510,21,42
497,510,21,42
497,510,21,42
496,510,22,44
496,509,22,44
496,510,21,42
495,509,22,44
495,509,22,44
496,510,21,42
496,510,21,42
495,509,22,44
495,509,22,44
496,510,21,42
495,509,22,44
495,510,22,44
496,510,22,43
496,510,21,42
496,510,21,42
495,510,22,43
495,510,22,44
495,510,21,42
495,510,21,42
495,510,21,42
495,510,21,42
495,510,21,42
495,510,21,42
495,510,21,42
495,510,21,42
495,510,21,42
496,510,21,42
495,510,21,42
495,510,21,42
496,510,21,42
496,510,21,42
496,510,21,42
496,510,21,42
496,510,22,43
496,510,22,43
497,511,21,41
496,510,22,43
496,510,22,43
496,510,22,43
496,510,22,43
496,510,22,43
496,510,22,43
496,510,22,43
496,509,22,43
496,510,22,43
496,509,22,43
495,509,22,44
496,510,21,42
497,510,21,42
497,510,21,42
498,510,22,43
498,511,21,41
497,510,21,42
498,510,21,42
498,511,21,42
498,511,21,42
498,511,21,42
500,512,21,41
500,512,21,41
501,512,21,41
501,512,21,41
502,511,21,42
504,512,21,41
504,512,21,41
504,511,21,42
505,512,21,41
506,512,21,41
507,512,21,41
508,512,21,41
508,512,22,43
509,512,21,42
510,512,20,41
510,511,21,42
511,512,21,41
512,511,22,43
513,512,21,41
513,511,21,42
514,512,20,41
516,512,21,41
516,511,21,42
518,512,20,41
519,512,20,41
520,512,21,41
521,512,21,41
522,512,21,41
522,511,21,42
524,511,22,43
525,511,22,43
